countyName,perCapitaPersonalIncome
"Pointe Coupee, LA",23715
"Rapides, LA",28745
"Red River, LA",19152
"Richland, LA",20874
"Sabine, LA",20966
"St. Bernard, LA",25495
"St. Charles, LA",27504
"St. Helena, LA",22577
"St. James, LA",22562
"St. John the Baptist, LA",24167
"St. Landry, LA",21152
"St. Martin, LA",20129
"St. Mary, LA",25881
"St. Tammany, LA",33087
"Tangipahoa, LA",22698
"Tensas, LA",21061
"Terrebonne, LA",24814
"Union, LA",24003
"Vermilion, LA",20766
"Vernon, LA",27209
"Washington, LA",20839
"Webster, LA",24238
"West Baton Rouge, LA",25378
"West Carroll, LA",17927
"West Feliciana, LA",18533
"Winn, LA",19251
"Androscoggin, ME",28625
"Aroostook, ME",24781
"Cumberland, ME",37755
"Franklin, ME",24703
"Hancock, ME",30577
"Kennebec, ME",28566
"Knox, ME",31878
"Lincoln, ME",31351
"Oxford, ME",24145
"Penobscot, ME",27511
"Piscataquis, ME",25042
"Sagadahoc, ME",30982
"Somerset, ME",24356
"Waldo, ME",26223
"Washington, ME",24218
"York, ME",30977
"Allegany, MD",24010
"Anne Arundel, MD",43987
"Baltimore, MD",41940
"Calvert, MD",35438
"Caroline, MD",25602
"Carroll, MD",35666
"Cecil, MD",31420
"Charles, MD",34809
"Dorchester, MD",27706
"Frederick, MD",37462
"Garrett, MD",25887
"Harford, MD",36697
"Howard, MD",50412
"Kent, MD",37118
"Montgomery, MD",56233
"Prince George's, MD",33269
"Queen Anne's, MD",38898
"St. Mary's, MD",32706
"Somerset, MD",22019
"Talbot, MD",48538
"Washington, MD",29108
"Wicomico, MD",28362
"Worcester, MD",32455
"Baltimore city, MD",29257
"Barnstable, MA",41632
"Berkshire, MA",34996
"Bristol, MA",32796
"Dukes, MA",44647
"Essex, MA",40647
"Franklin, MA",32627
"Hampden, MA",30772
"Hampshire, MA",30732
"Middlesex, MA",49321
"Nantucket, MA",49802
"Norfolk, MA",51395
"Plymouth, MA",38970
"Suffolk, MA",42825
"Worcester, MA",35249
"Alcona, MI",21694
"Alger, MI",21143
"Allegan, MI",27486
"Alpena, MI",26020
"Antrim, MI",26397
"Arenac, MI",22493
"Baraga, MI",20464
"Barry, MI",29271
"Bay, MI",27411
"Benzie, MI",25907
"Berrien, MI",28527
"Branch, MI",22703
"Calhoun, MI",27393
"Cass, MI",27463
"Charlevoix, MI",31292
"Cheboygan, MI",23923
"Chippewa, MI",20994
"Clare, MI",21711
"Clinton, MI",30125
"Crawford, MI",21009
"Delta, MI",25810
"Dickinson, MI",28975
"Eaton, MI",28824
"Emmet, MI",33015
"Genesee, MI",27238
"Gladwin, MI",22012
"Gogebic, MI",23117
"Grand Traverse, MI",31523
"Gratiot, MI",22862
"Hillsdale, MI",24550
"Houghton, MI",22127
"Huron, MI",27746
"Ingham, MI",28890
"Ionia, MI",22682
"Iosco, MI",21837
"Iron, MI",24635
"Isabella, MI",23422
"Jackson, MI",26433
"Kalamazoo, MI",31239
"Kalkaska, MI",19779
"Kent, MI",32459
"Keweenaw, MI",24928
"Lake, MI",20715
"Lapeer, MI",28042
"Leelanau, MI",34990
"Lenawee, MI",28046
"Livingston, MI",35545
"Luce, MI",19844
"Mackinac, MI",27784
"Macomb, MI",33512
"Manistee, MI",23847
"Marquette, MI",25291
"Mason, MI",25669
"Mecosta, MI",20312
"Menominee, MI",24011
"Midland, MI",37069
"Missaukee, MI",21436
"Monroe, MI",30214
"Montcalm, MI",21363
"Montmorency, MI",20224
"Muskegon, MI",25114
"Newaygo, MI",22863
"Oakland, MI",50337
"Oceana, MI",22321
"Ogemaw, MI",20922
"Ontonagon, MI",24772
"Osceola, MI",22448
"Oscoda, MI",18769
"Otsego, MI",25836
"Ottawa, MI",29438
"Presque Isle, MI",22849
"Roscommon, MI",22575
"Saginaw, MI",26702
"St. Clair, MI",29090
"St. Joseph, MI",25393
"Sanilac, MI",25396
"Schoolcraft, MI",23048
"Shiawassee, MI",24398
"Tuscola, MI",22639
"Van Buren, MI",24538
"Washtenaw, MI",38325
"Wayne, MI",29081
"Wexford, MI",24007
"Aitkin, MN",23953
"Anoka, MN",33988
"Becker, MN",27396
"Beltrami, MN",25022
"Benton, MN",27713
"Big Stone, MN",28381
"Blue Earth, MN",29288
"Brown, MN",29348
"Carlton, MN",25696
"Carver, MN",42827
"Cass, MN",28333
"Chippewa, MN",28483
"Chisago, MN",29062
"Clay, MN",26634
"Clearwater, MN",22422
"Cook, MN",30197
"Cottonwood, MN",29127
"Crow Wing, MN",26431
"Dakota, MN",40599
"Dodge, MN",30990
"Douglas, MN",29195
"Faribault, MN",28614
"Fillmore, MN",27735
"Freeborn, MN",27552
"Goodhue, MN",33105
"Grant, MN",26031
"Hennepin, MN",48173
"Houston, MN",29535
"Hubbard, MN",25401
"Isanti, MN",28573
"Itasca, MN",25394
"Jackson, MN",28661
"Kanabec, MN",24573
"Kandiyohi, MN",30521
"Kittson, MN",26986
"Koochiching, MN",29340
"Lac qui Parle, MN",27580
"Lake, MN",31073
"Lake of the Woods, MN",23978
"Le Sueur, MN",29201
"Lincoln, MN",27247
"Lyon, MN",29744
"McLeod, MN",29095
"Mahnomen, MN",22480
"Marshall, MN",26052
"Martin, MN",31830
"Meeker, MN",27115
"Mille Lacs, MN",23706
"Morrison, MN",24734
"Mower, MN",29789
"Murray, MN",28513
"Nicollet, MN",30278
"Nobles, MN",28581
"Norman, MN",26052
"Olmsted, MN",37969
"Otter Tail, MN",26819
"Pennington, MN",31125
"Pine, MN",23558
"Pipestone, MN",29412
"Polk, MN",26685
"Pope, MN",28928
"Ramsey, MN",39550
"Red Lake, MN",21733
"Redwood, MN",27194
"Renville, MN",25834
"Rice, MN",26520
"Rock, MN",27703
"Roseau, MN",29594
"St. Louis, MN",30588
"Scott, MN",34224
"Sherburne, MN",27220
"Sibley, MN",26239
"Stearns, MN",28460
"Steele, MN",30579
"Stevens, MN",27900
"Swift, MN",22315
"Todd, MN",22373
"Traverse, MN",25050
"Wabasha, MN",31247
"Wadena, MN",23669
"Waseca, MN",26460
"Washington, MN",42401
"Watonwan, MN",28579
"Wilkin, MN",27002
"Winona, MN",27968
"Wright, MN",29792
"Yellow Medicine, MN",27668
"Adams, MS",23516
"Alcorn, MS",21890
"Amite, MS",20297
"Attala, MS",20241
"Benton, MS",17152
"Bolivar, MS",19951
"Calhoun, MS",23148
"Carroll, MS",20658
"Chickasaw, MS",20257
"Choctaw, MS",17845
"Claiborne, MS",17246
"Clarke, MS",18870
"Clay, MS",22069
"Coahoma, MS",22774
"Copiah, MS",19667
"Covington, MS",19886
"DeSoto, MS",28539
"Forrest, MS",23993
"Franklin, MS",18040
"George, MS",20456
"Greene, MS",16520
"Grenada, MS",22685
"Hancock, MS",24645
"Harrison, MS",26380
"Hinds, MS",28858
"Holmes, MS",17579
"Humphreys, MS",19656
"Issaquena, MS",18543
"Itawamba, MS",22425
"Jackson, MS",25170
"Jasper, MS",19964
"Jefferson, MS",14545
"Jefferson Davis, MS",19248
"Jones, MS",24794
"Kemper, MS",18310
"Lafayette, MS",25236
"Lamar, MS",24923
"Lauderdale, MS",25639
"Lawrence, MS",22852
"Leake, MS",21490
"Lee, MS",28099
"Leflore, MS",21489
"Lincoln, MS",22649
"Lowndes, MS",23820
"Madison, MS",37579
"Marion, MS",20558
"Marshall, MS",20249
"Monroe, MS",22651
"Montgomery, MS",21443
"Neshoba, MS",25539
"Newton, MS",23075
"Noxubee, MS",18520
"Oktibbeha, MS",22935
"Panola, MS",19951
"Pearl River, MS",20028
"Perry, MS",18028
"Pike, MS",21110
"Pontotoc, MS",21728
"Prentiss, MS",18861
"Quitman, MS",19145
"Rankin, MS",28503
"Scott, MS",21622
"Sharkey, MS",20490
"Simpson, MS",23960
"Smith, MS",24669
"Stone, MS",22896
"Sunflower, MS",17126
"Tallahatchie, MS",20419
"Tate, MS",23480
"Tippah, MS",20938
"Tishomingo, MS",19142
"Tunica, MS",19230
"Union, MS",21629
"Walthall, MS",18954
"Warren, MS",28590
"Washington, MS",21025
"Wayne, MS",19951
"Webster, MS",19234
"Wilkinson, MS",16694
"Winston, MS",20147
"Yalobusha, MS",21033
"Yazoo, MS",20727
"Adair, MO",21095
"Andrew, MO",28372
"Atchison, MO",26948
"Audrain, MO",23462
"Barry, MO",22865
"Barton, MO",21977
"Bates, MO",24934
"Benton, MO",21446
"Bollinger, MO",20275
"Boone, MO",29743
"Buchanan, MO",25853
"Butler, MO",25890
"Caldwell, MO",24680
"Callaway, MO",23239
"Camden, MO",27074
"Cape Girardeau, MO",28072
"Carroll, MO",23952
"Carter, MO",21741
"Cass, MO",28195
"Cedar, MO",20508
"Chariton, MO",25356
"Christian, MO",24277
"Clark, MO",23066
"Clay, MO",32266
"Clinton, MO",26711
"Cole, MO",32529
"Cooper, MO",23129
"Crawford, MO",24408
"Dade, MO",23697
"Dallas, MO",22642
"Daviess, MO",22391
"DeKalb, MO",17074
"Dent, MO",20934
"Douglas, MO",19033
"Dunklin, MO",23480
"Franklin, MO",28484
"Gasconade, MO",24771
"Gentry, MO",24536
"Greene, MO",28908
"Grundy, MO",22568
"Harrison, MO",21833
"Henry, MO",24281
"Hickory, MO",18219
"Holt, MO",24420
"Howard, MO",26148
"Howell, MO",21717
"Iron, MO",21004
"Jackson, MO",32280
"Jasper, MO",24777
"Jefferson, MO",26922
"Johnson, MO",23272
"Knox, MO",24437
"Laclede, MO",22118
"Lafayette, MO",28299
"Lawrence, MO",21110
"Lewis, MO",20870
"Lincoln, MO",24172
"Linn, MO",23510
"Livingston, MO",25867
"McDonald, MO",21444
"Macon, MO",23949
"Madison, MO",20144
"Maries, MO",22828
"Marion, MO",24786
"Mercer, MO",25980
"Miller, MO",20808
"Mississippi, MO",21421
"Moniteau, MO",23859
"Monroe, MO",22628
"Montgomery, MO",24669
"Morgan, MO",24382
"New Madrid, MO",23649
"Newton, MO",25315
"Nodaway, MO",21526
"Oregon, MO",18878
"Osage, MO",26723
"Ozark, MO",19025
"Pemiscot, MO",22522
"Perry, MO",24173
"Pettis, MO",25230
"Phelps, MO",25173
"Pike, MO",21942
"Platte, MO",35960
"Polk, MO",20604
"Pulaski, MO",27133
"Putnam, MO",20410
"Ralls, MO",25847
"Randolph, MO",23437
"Ray, MO",27481
"Reynolds, MO",20910
"Ripley, MO",19581
"St. Charles, MO",32513
"St. Clair, MO",20640
"Ste. Genevieve, MO",24187
"St. Francois, MO",21800
"St. Louis, MO",44888
"Saline, MO",26575
"Schuyler, MO",20128
"Scotland, MO",22820
"Scott, MO",25324
"Shannon, MO",18182
"Shelby, MO",24969
"Stoddard, MO",23654
"Stone, MO",24620
"Sullivan, MO",25084
"Taney, MO",23860
"Texas, MO",18146
"Vernon, MO",24005
"Warren, MO",26678
"Washington, MO",19242
"Wayne, MO",20117
"Webster, MO",20370
"Worth, MO",21559
"Wright, MO",18412
"St. Louis city, MO",26478
"Beaverhead, MT",26548
"Big Horn, MT",19381
"Blaine, MT",20380
"Broadwater, MT",23471
"Carbon, MT",30167
"Carter, MT",23480
"Cascade, MT",28790
"Chouteau, MT",26452
"Custer, MT",25603
"Daniels, MT",30165
"Dawson, MT",23501
"Deer Lodge, MT",23064
"Fallon, MT",26295
"Fergus, MT",26819
"Flathead, MT",29471
"Gallatin, MT",30336
"Garfield, MT",26145
"Glacier, MT",21389
"Golden Valley, MT",21340
"Granite, MT",24451
"Hill, MT",28845
"Jefferson, MT",29347
"Judith Basin, MT",23637
"Lake, MT",21361
"Lewis and Clark, MT",30083
"Liberty, MT",23867
"Lincoln, MT",21126
"McCone, MT",23508
"Madison, MT",28213
"Meagher, MT",24239
"Mineral, MT",21917
"Missoula, MT",29025
"Musselshell, MT",20277
"Park, MT",25999
"Petroleum, MT",19031
"Phillips, MT",23810
"Pondera, MT",24897
"Powder River, MT",20628
"Powell, MT",20360
"Prairie, MT",26122
"Ravalli, MT",24231
"Richland, MT",27522
"Roosevelt, MT",20952
"Rosebud, MT",27176
"Sanders, MT",19904
"Sheridan, MT",29209
"Silver Bow, MT",29160
"Stillwater, MT",30096
"Sweet Grass, MT",25201
"Teton, MT",27866
"Toole, MT",26736
"Treasure, MT",23050
"Valley, MT",30832
"Wheatland, MT",21272
"Wibaux, MT",22207
"Yellowstone, MT",31780
"Yellowstone National Park, MT",0
"Adams, NE",25108
"Antelope, NE",27158
"Arthur, NE",19641
"Banner, NE",24718
"Blaine, NE",19206
"Boone, NE",26270
"Box Butte, NE",27802
"Boyd, NE",19913
"Brown, NE",25584
"Buffalo, NE",27282
"Burt, NE",25896
"Butler, NE",26235
"Cass, NE",31962
"Cedar, NE",30031
"Chase, NE",28533
"Cherry, NE",25584
"Cheyenne, NE",31275
"Clay, NE",26388
"Colfax, NE",26232
"Cuming, NE",33440
"Custer, NE",27729
"Dakota, NE",22793
"Dawes, NE",20309
"Dawson, NE",23228
"Deuel, NE",26831
"Dixon, NE",29958
"Dodge, NE",27419
"Douglas, NE",39970
"Dundy, NE",30292
"Fillmore, NE",29298
"Franklin, NE",25943
"Frontier, NE",25732
"Furnas, NE",24319
"Gage, NE",29891
"Garden, NE",26236
"Garfield, NE",26684
"Gosper, NE",25786
"Grant, NE",14357
"Greeley, NE",24794
"Hall, NE",28698
"Hamilton, NE",26017
"Harlan, NE",24783
"Hayes, NE",19991
"Hitchcock, NE",20063
"Holt, NE",28231
"Hooker, NE",21126
"Howard, NE",24541
"Jefferson, NE",27786
"Johnson, NE",27172
"Kearney, NE",29906
"Keith, NE",24942
"Keya Paha, NE",21843
"Kimball, NE",25905
"Knox, NE",24665
"Lancaster, NE",31933
"Lincoln, NE",27202
"Logan, NE",24366
"Loup, NE",12674
"McPherson, NE",16695
"Madison, NE",27603
"Merrick, NE",25452
"Morrill, NE",22981
"Nance, NE",26950
"Nemaha, NE",33789
"Nuckolls, NE",25455
"Otoe, NE",27158
"Pawnee, NE",30798
"Perkins, NE",27888
"Phelps, NE",31015
"Pierce, NE",27104
"Platte, NE",28047
"Polk, NE",28061
"Red Willow, NE",26013
"Richardson, NE",28183
"Rock, NE",23262
"Saline, NE",27353
"Sarpy, NE",31025
"Saunders, NE",30533
"Scotts Bluff, NE",26390
"Seward, NE",29699
"Sheridan, NE",20959
"Sherman, NE",23309
"Sioux, NE",20346
"Stanton, NE",26440
"Thayer, NE",30457
"Thomas, NE",21886
"Thurston, NE",22331
"Valley, NE",24254
"Washington, NE",32077
"Wayne, NE",26344
"Webster, NE",28652
"Wheeler, NE",32117
"York, NE",32157
"Churchill, NV",32357
"Clark, NV",33463
"Douglas, NV",46840
"Elko, NV",29998
"Esmeralda, NV",36044
"Eureka, NV",29809
"Humboldt, NV",26387
"Lander, NV",29880
"Lincoln, NV",22662
"Lyon, NV",24352
"Mineral, NV",25887
"Nye, NV",28296
"Pershing, NV",19419
"Storey, NV",33224
"Washoe, NV",40815
"White Pine, NV",31246
"Carson City city, NV",36499
"Belknap, NH",33611
"Carroll, NH",34215
"Cheshire, NH",31758
"Coos, NH",29158
"Grafton, NH",36961
"Hillsborough, NH",38782
"Merrimack, NH",33655
"Rockingham, NH",41122
"Strafford, NH",29962
"Sullivan, NH",32089
"Atlantic, NJ",32712
"Bergen, NJ",54288
"Burlington, NJ",38890
"Camden, NJ",34580
"Cape May, NJ",37422
"Cumberland, NJ",26989
"Essex, NJ",41829
"Gloucester, NJ",32866
"Hudson, NJ",32514
"Hunterdon, NJ",58441
"Mercer, NJ",43962
"Middlesex, NJ",39792
"Monmouth, NJ",46069
"Morris, NJ",60989
"Ocean, NJ",32964
"Passaic, NJ",32938
"Salem, NJ",32046
"Somerset, NJ",59562
"Sussex, NJ",39986
"Union, NJ",42518
"Warren, NJ",34993
"Bernalillo, NM",30986
"Catron, NM",17548
"Chaves, NM",23361
"Cibola, NM",18093
"Colfax, NM",23611
"Curry, NM",25758
"De Baca, NM",21605
"Dona Ana, NM",21779
"Eddy, NM",26538
"Grant, NM",21496
"Guadalupe, NM",15165
"Harding, NM",18739
"Hidalgo, NM",19263
"Lea, NM",24500
"Lincoln, NM",21552
"Los Alamos, NM",52540
"Luna, NM",17799
"McKinley, NM",17498
"Mora, NM",16974
"Otero, NM",20358
"Quay, NM",21258
"Rio Arriba, NM",21893
"Roosevelt, NM",25163
"Sandoval, NM",26293
"San Juan, NM",22644
"San Miguel, NM",21262
"Santa Fe, NM",35615
"Sierra, NM",19476
"Socorro, NM",20284
"Taos, NM",23691
"Torrance, NM",21216
"Union, NM",27586
"Valencia, NM",23220
"Albany, NY",37421
"Allegany, NY",20813
"Bronx, NY",23054
"Broome, NY",27573
"Cattaraugus, NY",25465
"Cayuga, NY",26934
"Chautauqua, NY",23881
"Chemung, NY",25794
"Chenango, NY",24804
"Clinton, NY",25999
"Columbia, NY",31333
"Cortland, NY",24444
"Delaware, NY",25065
"Dutchess, NY",34732
"Erie, NY",31914
"Essex, NY",25890
"Franklin, NY",21742
"Fulton, NY",27516
"Genesee, NY",26856
"Greene, NY",27319
"Hamilton, NY",27511
"Herkimer, NY",24424
"Jefferson, NY",27155
"Kings, NY",27608
"Lewis, NY",22802
"Livingston, NY",25495
"Madison, NY",27153
"Monroe, NY",34654
"Montgomery, NY",27375
"Nassau, NY",51979
"New York, NY",88599
"Niagara, NY",26840
"Oneida, NY",26957
"Onondaga, NY",32226
"Ontario, NY",31249
"Orange, NY",30484
"Orleans, NY",22785
"Oswego, NY",23703
"Otsego, NY",24888
"Putnam, NY",42795
"Queens, NY",30788
"Rensselaer, NY",30743
"Richmond, NY",36658
"Rockland, NY",45054
"St. Lawrence, NY",22358
"Saratoga, NY",34204
"Schenectady, NY",34836
"Schoharie, NY",25539
"Schuyler, NY",24333
"Seneca, NY",25653
"Steuben, NY",28823
"Suffolk, NY",39896
"Sullivan, NY",28825
"Tioga, NY",26183
"Tompkins, NY",27512
"Ulster, NY",28667
"Warren, NY",29966
"Washington, NY",24304
"Wayne, NY",27873
"Westchester, NY",59845
"Wyoming, NY",23906
"Yates, NY",22764
"Alamance, NC",26628
"Alexander, NC",25322
"Alleghany, NC",24606
"Anson, NC",22307
"Ashe, NC",24121
"Avery, NC",23296
"Beaufort, NC",24608
"Bertie, NC",22260
"Bladen, NC",23167
"Brunswick, NC",26229
"Buncombe, NC",28711
"Burke, NC",24736
"Cabarrus, NC",30619
"Caldwell, NC",26022
"Camden, NC",26000
"Carteret, NC",29049
"Caswell, NC",22546
"Catawba, NC",27141
"Chatham, NC",36083
"Cherokee, NC",20285
"Chowan, NC",26074
"Clay, NC",21865
"Cleveland, NC",24839
"Columbus, NC",23768
"Craven, NC",28304
"Cumberland, NC",28915
"Currituck, NC",28733
"Dare, NC",31778
"Davidson, NC",27205
"Davie, NC",30763
"Duplin, NC",22633
"Durham, NC",32735
"Edgecombe, NC",24311
"Forsyth, NC",34052
"Franklin, NC",24788
"Gaston, NC",28955
"Gates, NC",23053
"Graham, NC",21745
"Granville, NC",22589
"Greene, NC",22129
"Guilford, NC",33141
"Halifax, NC",21902
"Harnett, NC",23642
"Haywood, NC",25231
"Henderson, NC",29009
"Hertford, NC",21411
"Hoke, NC",19442
"Hyde, NC",21861
"Iredell, NC",28596
"Jackson, NC",23284
"Johnston, NC",26858
"Jones, NC",24350
"Lee, NC",26846
"Lenoir, NC",25985
"Lincoln, NC",25691
"McDowell, NC",22055
"Macon, NC",24458
"Madison, NC",22213
"Martin, NC",23355
"Mecklenburg, NC",40718
"Mitchell, NC",21133
"Montgomery, NC",24027
"Moore, NC",33687
"Nash, NC",27967
"New Hanover, NC",30428
"Northampton, NC",24759
"Onslow, NC",26904
"Orange, NC",37225
"Pamlico, NC",26502
"Pasquotank, NC",23084
"Pender, NC",23371
"Perquimans, NC",24441
"Person, NC",25138
"Pitt, NC",26324
"Polk, NC",34283
"Randolph, NC",24517
"Richmond, NC",22140
"Robeson, NC",19728
"Rockingham, NC",24389
"Rowan, NC",26562
"Rutherford, NC",23732
"Sampson, NC",23485
"Scotland, NC",21873
"Stanly, NC",24597
"Stokes, NC",24879
"Surry, NC",25181
"Swain, NC",21117
"Transylvania, NC",26878
"Tyrrell, NC",20559
"Union, NC",28162
"Vance, NC",22607
"Wake, NC",36576
"Warren, NC",19475
"Washington, NC",22863
"Watauga, NC",25689
"Wayne, NC",24964
"Wilkes, NC",25979
"Wilson, NC",26570
"Yadkin, NC",24849
"Yancey, NC",20530
"Adams, ND",23841
"Barnes, ND",28107
"Benson, ND",18657
"Billings, ND",24976
"Bottineau, ND",28237
"Bowman, ND",29133
"Burke, ND",28046
"Burleigh, ND",33166
"Cass, ND",33385
"Cavalier, ND",27793
"Dickey, ND",29206
"Divide, ND",25424
"Dunn, ND",21784
"Eddy, ND",23467
"Emmons, ND",22917
"Foster, ND",26565
"Golden Valley, ND",19491
"Grand Forks, ND",28036
"Grant, ND",21222
"Griggs, ND",28446
"Hettinger, ND",26744
"Kidder, ND",25897
"LaMoure, ND",33433
"Logan, ND",29711
"McHenry, ND",23651
"McIntosh, ND",27517
"McKenzie, ND",25565
"McLean, ND",30827
"Mercer, ND",33330
"Morton, ND",26648
"Mountrail, ND",28577
"Nelson, ND",23768
"Oliver, ND",30055
"Pembina, ND",26633
"Pierce, ND",22579
"Ramsey, ND",26157
"Ransom, ND",28436
"Renville, ND",27057
"Richland, ND",26067
"Rolette, ND",20501
"Sargent, ND",37945
"Sheridan, ND",28401
"Sioux, ND",16869
"Slope, ND",22118
"Stark, ND",27050
"Steele, ND",23285
"Stutsman, ND",28049
"Towner, ND",25481
"Traill, ND",26746
"Walsh, ND",26555
"Ward, ND",30808
"Wells, ND",27871
"Williams, ND",28144
"Adams, OH",21090
"Allen, OH",26927
"Ashland, OH",23943
"Ashtabula, OH",24741
"Athens, OH",20967
"Auglaize, OH",29841
"Belmont, OH",24610
"Brown, OH",24692
"Butler, OH",31008
"Carroll, OH",22956
"Champaign, OH",26079
"Clark, OH",27487
"Clermont, OH",31921
"Clinton, OH",27618
"Columbiana, OH",23282
"Coshocton, OH",24191
"Crawford, OH",24516
"Cuyahoga, OH",35544
"Darke, OH",26842
"Defiance, OH",27762
"Delaware, OH",40333
"Erie, OH",32487
"Fairfield, OH",29707
"Fayette, OH",26835
"Franklin, OH",34735
"Fulton, OH",29110
"Gallia, OH",25826
"Geauga, OH",39915
"Greene, OH",30810
"Guernsey, OH",22890
"Hamilton, OH",38258
"Hancock, OH",30748
"Hardin, OH",22058
"Harrison, OH",23222
"Henry, OH",27226
"Highland, OH",23501
"Hocking, OH",22930
"Holmes, OH",21103
"Huron, OH",25120
"Jackson, OH",21803
"Jefferson, OH",25598
"Knox, OH",25178
"Lake, OH",32067
"Lawrence, OH",22195
"Licking, OH",29122
"Logan, OH",27959
"Lorain, OH",28222
"Lucas, OH",30075
"Madison, OH",28081
"Mahoning, OH",27556
"Marion, OH",25159
"Medina, OH",32383
"Meigs, OH",19591
"Mercer, OH",28028
"Miami, OH",29648
"Monroe, OH",22475
"Montgomery, OH",31001
"Morgan, OH",19413
"Morrow, OH",24399
"Muskingum, OH",25487
"Noble, OH",17193
"Ottawa, OH",31175
"Paulding, OH",24437
"Perry, OH",20687
"Pickaway, OH",24847
"Pike, OH",21389
"Portage, OH",28528
"Preble, OH",25527
"Putnam, OH",27387
"Richland, OH",26110
"Ross, OH",23976
"Sandusky, OH",26192
"Scioto, OH",22930
"Seneca, OH",25410
"Shelby, OH",29213
"Stark, OH",28145
"Summit, OH",33095
"Trumbull, OH",26761
"Tuscarawas, OH",24445
"Union, OH",29160
"Van Wert, OH",26446
"Vinton, OH",18788
"Warren, OH",33238
"Washington, OH",25715
"Wayne, OH",26619
"Williams, OH",26644
"Wood, OH",29253
"Wyandot, OH",27171
"Adair, OK",18959
"Alfalfa, OK",20824
"Atoka, OK",17872
"Beaver, OK",22653
"Beckham, OK",23259
"Blaine, OK",17818
"Bryan, OK",22775
"Caddo, OK",19145
"Canadian, OK",27865
"Carter, OK",25797
"Cherokee, OK",20443
"Choctaw, OK",19804
"Cimarron, OK",21840
"Cleveland, OK",28189
"Coal, OK",17198
"Comanche, OK",26066
"Cotton, OK",25240
"Craig, OK",23106
"Creek, OK",23298
"Custer, OK",23265
"Delaware, OK",24420
"Dewey, OK",25068
"Ellis, OK",24873
"Garfield, OK",28520
"Garvin, OK",25245
"Grady, OK",22909
"Grant, OK",29649
"Greer, OK",23071
"Harmon, OK",23162
"Harper, OK",29015
"Haskell, OK",22018
"Hughes, OK",19768
"Jackson, OK",25450
"Jefferson, OK",19886
"Johnston, OK",20490
"Kay, OK",27566
"Kingfisher, OK",28116
"Kiowa, OK",23248
"Latimer, OK",22861
"Le Flore, OK",21503
"Lincoln, OK",21346
"Logan, OK",28483
"Love, OK",22207
"McClain, OK",25682
"McCurtain, OK",22542
"McIntosh, OK",21239
"Major, OK",23621
"Marshall, OK",20981
"Mayes, OK",22024
"Murray, OK",22332
"Muskogee, OK",22746
"Noble, OK",23377
"Nowata, OK",19158
"Okfuskee, OK",18849
"Oklahoma, OK",34344
"Okmulgee, OK",21317
"Osage, OK",24583
"Ottawa, OK",22810
"Pawnee, OK",22886
"Payne, OK",22566
"Pittsburg, OK",23561
"Pontotoc, OK",24233
"Pottawatomie, OK",23410
"Pushmataha, OK",20083
"Roger Mills, OK",24940
"Rogers, OK",24976
"Seminole, OK",21121
"Sequoyah, OK",20992
"Stephens, OK",25193
"Texas, OK",25441
"Tillman, OK",20141
"Tulsa, OK",38234
"Wagoner, OK",23503
"Washington, OK",32258
"Washita, OK",20383
"Woods, OK",23596
"Woodward, OK",24242
"Baker, OR",22817
"Benton, OR",34444
"Clackamas, OR",37691
"Clatsop, OR",27216
"Columbia, OR",27984
"Coos, OR",25521
"Crook, OR",22631
"Curry, OR",25760
"Deschutes, OR",30445
"Douglas, OR",26045
"Gilliam, OR",25121
"Grant, OR",26833
"Harney, OR",23857
"Hood River, OR",25957
"Jackson, OR",28686
"Jefferson, OR",22180
"Josephine, OR",23838
"Klamath, OR",24858
"Lake, OR",24301
"Lane, OR",27979
"Lincoln, OR",27880
"Linn, OR",25361
"Malheur, OR",20001
"Marion, OR",27535
"Morrow, OR",27092
"Multnomah, OR",35757
"Polk, OR",26989
"Sherman, OR",23003
"Tillamook, OR",27092
"Umatilla, OR",24086
"Union, OR",26832
"Wallowa, OR",26432
"Wasco, OR",25420
"Washington, OR",33168
"Wheeler, OR",22549
"Yamhill, OR",27566
"Adams, PA",27904
"Allegheny, PA",39289
"Armstrong, PA",27055
"Beaver, PA",27891
"Bedford, PA",23224
"Berks, PA",30622
"Blair, PA",26471
"Bradford, PA",24549
"Bucks, PA",43587
"Butler, PA",32052
"Cambria, PA",25218
"Cameron, PA",25843
"Carbon, PA",26578
"Centre, PA",27451
"Chester, PA",49825
"Clarion, PA",26200
"Clearfield, PA",24567
"Clinton, PA",24265
"Columbia, PA",26686
"Crawford, PA",23647
"Cumberland, PA",35005
"Dauphin, PA",33983
"Delaware, PA",40508
"Elk, PA",28430
"Erie, PA",26680
"Fayette, PA",24944
"Forest, PA",19947
"Franklin, PA",28120
"Fulton, PA",27149
"Greene, PA",22626
"Huntingdon, PA",22118
"Indiana, PA",25961
"Jefferson, PA",24557
"Juniata, PA",26559
"Lackawanna, PA",30131
"Lancaster, PA",31153
"Lawrence, PA",25353
"Lebanon, PA",30187
"Lehigh, PA",33824
"Luzerne, PA",29361
"Lycoming, PA",27040
"McKean, PA",26518
"Mercer, PA",26089
"Mifflin, PA",23391
"Monroe, PA",26533
"Montgomery, PA",52656
"Montour, PA",32366
"Northampton, PA",31437
"Northumberland, PA",26143
"Perry, PA",27751
"Philadelphia, PA",29489
"Pike, PA",26171
"Potter, PA",26610
"Schuylkill, PA",25394
"Snyder, PA",27883
