countyName,perCapitaPersonalIncome
"Conejos, CO",18084
"Costilla, CO",20465
"Crowley, CO",14506
"Custer, CO",26119
"Delta, CO",22391
"Denver, CO",44659
"Dolores, CO",24503
"Douglas, CO",41136
"Eagle, CO",41315
"Elbert, CO",35082
"El Paso, CO",31385
"Fremont, CO",20278
"Garfield, CO",29893
"Gilpin, CO",34768
"Grand, CO",31784
"Gunnison, CO",27625
"Hinsdale, CO",25703
"Huerfano, CO",19183
"Jackson, CO",22311
"Jefferson, CO",40919
"Kiowa, CO",30963
"Kit Carson, CO",25357
"Lake, CO",21865
"La Plata, CO",31360
"Larimer, CO",32176
"Las Animas, CO",22690
"Lincoln, CO",19637
"Logan, CO",24548
"Mesa, CO",27131
"Mineral, CO",26817
"Moffat, CO",26948
"Montezuma, CO",24882
"Montrose, CO",25504
"Morgan, CO",23797
"Otero, CO",23886
"Ouray, CO",34943
"Park, CO",28689
"Phillips, CO",23024
"Pitkin, CO",72816
"Prowers, CO",24027
"Pueblo, CO",25002
"Rio Blanco, CO",29950
"Rio Grande, CO",25020
"Routt, CO",39497
"Saguache, CO",17146
"San Juan, CO",26716
"San Miguel, CO",39170
"Sedgwick, CO",25715
"Summit, CO",35304
"Teller, CO",32178
"Washington, CO",23974
"Weld, CO",24140
"Yuma, CO",27948
"Fairfield, CT",65087
"Hartford, CT",41653
"Litchfield, CT",40416
"Middlesex, CT",42039
"New Haven, CT",38082
"New London, CT",37952
"Tolland, CT",35706
"Windham, CT",29987
"Kent, DE",27254
"New Castle, DE",40016
"Sussex, DE",28662
"Alachua, FL",28269
"Baker, FL",23011
"Bay, FL",28678
"Bradford, FL",21382
"Brevard, FL",30597
"Broward, FL",34680
"Calhoun, FL",18011
"Charlotte, FL",28408
"Citrus, FL",25145
"Clay, FL",28699
"Collier, FL",50380
"Columbia, FL",21438
"DeSoto, FL",17641
"Dixie, FL",17684
"Duval, FL",32502
"Escambia, FL",26694
"Flagler, FL",26658
"Franklin, FL",24768
"Gadsden, FL",22805
"Gilchrist, FL",23131
"Glades, FL",17813
"Gulf, FL",20315
"Hamilton, FL",14954
"Hardee, FL",18029
"Hendry, FL",21173
"Hernando, FL",25582
"Highlands, FL",22861
"Hillsborough, FL",32068
"Holmes, FL",20472
"Indian River, FL",47359
"Jackson, FL",20686
"Jefferson, FL",23889
"Lafayette, FL",16450
"Lake, FL",27960
"Lee, FL",36023
"Leon, FL",29830
"Levy, FL",21251
"Liberty, FL",20375
"Madison, FL",19132
"Manatee, FL",33799
